ID,Название,Категории,Индекс,Страна,Регион,Район,Город,Улица,Дом,Полный адрес,Мобильные,Немобильные,Сайт,График,Широта,Долгота,ID сети,Сеть,ID,Название,Категории,Индекс,Страна
1709576821,3DNetPrint,3D-печать | производственное предприятие,111524,Россия,,,Москва,Электродная улица,8,"Россия, Москва, Электродная улица, 8",+7 (901) 701-39-79,,https://3dnetprint.ru/,"пн-пт 10:00–19:00, перерыв 13:00–14:00; сб,вс 11:00–15:00",55.752703,37.753299,,,Оплата картой,http://facebook.com/3dnetprint | http://instagram.com/3dnetprint | http://vk.com/3dnetprint,https://yandex.ru/maps/org/3dnetprint/1709576821,https://3dnetprint.ru/ | https://3dnetprint.com/,+7 (901) 701-39-79
1169134586,CubicPrints,3D-печать | металлообработка | пластмассовые и пластиковые изделия,129085,Россия,,,Москва,улица Годовикова," 9, стр. 4","Россия, Москва, улица Годовикова, 9, стр. 4",,+7 (499) 390-03-77,https://www.cubicprints.ru/,пн-пт 10:00–19:00,55.805553,37.62784,,,"Способ оплаты(дисконтная система скидок,предоплата,оплата картой,электронными деньгами,банковским переводом) | Оплата картой",https://twitter.com/CubicPrints | https://vk.com/cubicprints | https://www.facebook.com/cubicprints | https://www.instagram.com/cubicprints | https://www.youtube.com/channel/UCu_PlFvjat13PyQrTUdShEQ,https://yandex.ru/maps/org/cubicprints/1169134586,https://www.cubicprints.ru/,+7 (499) 390-03-77
91497807860,Gistroy,Оборудование для лёгкой промышленности | 3D-печать,115088,Россия,,,Москва,Угрешская улица," 2, стр. 1","Россия, Москва, Угрешская улица, 2, стр. 1",+7 (926) 976-63-00,,http://gistroy.ru/,пн-пт 10:00–20:00,55.711356,37.683527,,,Производство | Продажа,https://vk.com/gistroy | https://www.instagram.com/gistroy/,https://yandex.ru/maps/org/gistroy/91497807860,http://gistroy.ru/,+7 (926) 976-63-00
57947397253,3ДПринтус,3D-печать | выставочные стенды | проектная организация | пластмассовые и пластиковые изделия,111033,Россия,,,Москва,улица Золоторожский Вал," 11, стр. 21","Россия, Москва, улица Золоторожский Вал, 11, стр. 21",,+7 (495) 120-33-19,http://3dprintus.ru/,"ежедневно, 10:00–22:00",55.749648,37.703505,,,,https://vk.com/3dprintus | https://www.facebook.com/3DPrintus | https://www.instagram.com/3dprintus,https://yandex.ru/maps/org/3dprintus/57947397253,http://3dprintus.ru/,+7 (495) 120-33-19
1346046011,АБ Универсал,3D-печать,115201,Россия,,,Москва,Каширский проезд," 13, стр. 2","Россия, Москва, Каширский проезд, 13, стр. 2",,+7 (495) 380-05-15,http://www.abuniversal.ru/,пн-пт 9:00–18:00,55.656773,37.631909,,,,,https://yandex.ru/maps/org/ab_universal/1346046011,http://www.abuniversal.ru/,+7 (495) 380-05-15
1797074700,Техно форма,Конструкторское бюро | 3D-печать | новые технологии,144001,Россия,Московская область,,Электросталь,Строительный переулок,9,"Россия, Московская область, Электросталь, Строительный переулок, 9",+7 (985) 710-01-71,,http://techno-forma.ru/,пн-пт 9:00–18:00,55.794846,38.473011,,,,,https://yandex.ru/maps/org/tekhno_forma/1797074700,http://techno-forma.ru/,+7 (985) 710-01-71
211487644414,Studio3dPrint,3D-печать,111524,Россия,,,Москва,Электродная улица," 2, стр. 13","Россия, Москва, Электродная улица, 2, стр. 13",,+7 (499) 394-37-09,https://www.studio3dprint.ru/,пн-пт 8:00–18:00; сб 10:00–17:00; вс 10:00–14:00,55.754654,37.748834,,,,https://www.instagram.com/anatoliirumianov/?igshid=hu8gszn357a5&utm_source=ig_profile_share,https://yandex.ru/maps/org/studio3dprint/211487644414,https://www.studio3dprint.ru/,+7 (499) 394-37-09
193809273086,Klona,Промышленный дизайн | 3D-печать,119019,Россия,,,Москва,улица Новый Арбат," 1, стр. 2","Россия, Москва, улица Новый Арбат, 1, стр. 2",,+7 (499) 112-08-50,https://klona.ru/,пн-пт 9:00–18:00,55.752718,37.59904,,,,https://vk.com/koloro3d,https://yandex.ru/maps/org/klona/193809273086,https://klona.ru/,+7 (499) 112-08-50
2747022041,Makerbot,3D-печать,123290,Россия,,,Москва,Мукомольный проезд," 4А, стр. 2","Россия, Москва, Мукомольный проезд, 4Ас2",,"+7 (495) 956-77-70,+7 (495) 956-06-02",http://makerbot3d.ru/,,55.751832,37.52527,,,,,https://yandex.ru/maps/org/makerbot/2747022041,http://makerbot3d.ru/,+7 (495) 956-77-70 | +7 (495) 956-06-02
1819860308,Printricate,3D-печать,119361,,,,Москва,Большая Очаковская улица," 47А, стр. 1","Москва, ул. Большая Очаковская, 47а",+7 (931) 231-26-39,,http://printricate.ru/,пн-пт 10:00–18:00,55.673646,37.440317,,,,,https://yandex.ru/maps/org/printricate/1819860308,http://printricate.ru/,+7 (931) 231-26-39
1689396179,3Dkauf,3D-печать,,,Новомосковский административный округ,,,"Киевское шоссе, 22-й километр", дв4с4кЕ,"Россия, Москва, поселение Московский, Киевское шоссе, 22-й километр, дв4с4кЕ",,+7 (495) 363-15-59,http://www.3dkauf.ru/,пн-пт 9:30–18:30,55.637017,37.434954,,,,https://www.facebook.com/3dkauf,https://yandex.ru/maps/org/3dkauf/1689396179,http://www.3dkauf.ru/,+7 (495) 363-15-59
1158122555,Цветной мир,3D-печать | оргтехника,141014,Россия,Московская область,,Мытищи,улица Веры Волошиной,25,"Россия, Московская область, Мытищи, улица Веры Волошиной, 25",,"8 (800) 550-02-09,+7 (495) 518-98-02",https://cvetmir3d.ru/,пн-пт 9:00–18:00,55.894137,37.717016,,,"Способ оплаты(наличными,оплата картой,электронными деньгами,банковским переводом,наложенным платежом) | Оплата картой",http://vk.com/cvetmir3d | https://www.facebook.com/groups/cvetmir3d | https://www.youtube.com/channel/UCnfeyFh3TKIVpMCMi1zd0fA,https://yandex.ru/maps/org/tsvetnoy_mir/1158122555,https://cvetmir3d.ru/,8 (800) 550-02-09 | +7 (495) 518-98-02
1295520885,3д Фарм,Магазин подарков и сувениров | 3D-печать,127015,Россия,,,Москва,Большая Новодмитровская улица," 36, стр. 12","Россия, Москва, Большая Новодмитровская улица, 36, стр. 12",+7 (926) 253-34-17,+7 (499) 403-39-53,https://3dfarm.ru/,пн-пт 10:00–20:00,55.80442,37.586212,,,Товары ручной работы | Оплата картой,https://www.instagram.com/3dfarm/,https://yandex.ru/maps/org/3d_farm/1295520885,https://3dfarm.ru/,+7 (499) 403-39-53 | +7 (926) 253-34-17
1261427427,ФотоПилот,Фотоуслуги | 3D-печать | полиграфические услуги,,Россия,Московская область,,Химки,Ленинградское шоссе, вл5,"Россия, Московская область, Химки, Ленинградское шоссе, вл5",+7 (968) 439-98-00,,http://fotopilot.ru/,"ежедневно, 10:00–21:00",55.888474,37.433277,141192754050,Фотопилот,"Обработка фото | Фотопечать | Фото на документы | Препресс и послепечатная обработка(ламинирование) | Способ печати(цифровая печать,копирование) | Фотосалон | Продукция(керамика, стекло,брелоки, ручки, зажигалки,текстиль,этикетки,приглашения,открытки,наклейки,листовки,календари,буклеты,бланки,бирки, ярлыки,эмблемы,кружки,трафареты) | Срочная печать | Съёмка(детская,предметная,семейная,портретная)",https://vk.com/fotopilot | https://www.instagram.com/fotopilot.ru/,https://yandex.ru/maps/org/fotopilot/1261427427,http://fotopilot.ru/,+7 (968) 439-98-00
143041256195,Технологии промышленного производства,Промышленное оборудование | 3D-печать | конструкторское бюро,141800,Россия,Московская область,Дмитровский городской округ,Дмитров,Московская улица,29,"Россия, Московская область, Дмитровский городской округ, Дмитров, Московская улица, 29",+7 (965) 112-96-93,,http://dfmplastic.ru/,пн-пт 10:00–18:00,56.333604,37.509936,,,,,https://yandex.ru/maps/org/tekhnologii_promyshlennogo_proizvodstva/143041256195,http://dfmplastic.ru/,+7 (965) 112-96-93
1247504007,Электро Принт,3D-печать | наружная реклама | полиграфические услуги | широкоформатная печать,125362,Россия,,,Москва,улица Свободы,35,"Россия, Москва, улица Свободы, 35",,+7 (495) 211-36-25,http://elektro-print.ru/,,55.841205,37.452507,,,"Срочная печать | Препресс и послепечатная обработка(перфорация,лазерная резка и гравировка,кругление углов,сверление отверстий,тиснение,высечка,биговка,лакирование,вёрстка,дизайн,ламинирование) | Оплата картой | Продукция(пластиковые карты,POS-материалы,наклейки,листовки,календари,воблеры,визитки,бейджи,буклеты,блокноты,брошюры,плакаты, постеры) | Способ печати(широкоформатная печать,цифровая печать,копирование,UV-печать) | Печать(баннеров,плакатов,на холсте,интерьерная)",,https://yandex.ru/maps/org/elektro_print/1247504007,http://elektro-print.ru/,+7 (495) 211-36-25
1336613743,Проф-Скан,Полиграфическое оборудование | 3D-печать,127247,Россия,,,Москва,Дмитровское шоссе, вл107,"Россия, Москва, Дмитровское шоссе, 107",,+7 (495) 724-36-05,http://www.prof-scan.ru/,пн-пт 9:00–18:00,55.879041,37.544494,,,,,https://yandex.ru/maps/org/prof_skan/1336613743,http://www.prof-scan.ru/,+7 (495) 724-36-05
